s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s202,s203,s204,s205,s206,s207,s208,s209,s210,s211,s212,s213,s214,s215,s216,s217,s218,s219,s220,s221,s222,s223,s224,s225,s226,s227,s228,s229,s230,s231,s232,s233,s234,s235,s236,s237,s238,s239,s240,s241,s242,s243,s244,s245,s246,s247,s248,s249,s250,s251,s252,s253,s254,s255,s256,s257,s258,s259,s260,s261,s262,s263,s264,s265,s266,s267,s268,s269,s270,s271,s272,s273,s274,s275,s276,s277,s278,s279,s280,s281,s282,s283,s284,s285,s286,s287,s288,s289,s290,s291,s292,s293,s294,s295,s296,s297,s298,s299,s300,s301,s302,s303,s304,s305,s306,s307,s308,s309,s310,s311,s312,s313,s314,s315,s316,s317,s318,s319,s320,s321,s322,s323,s324,s325,s326,s327,s328,s329,s330,s331,s332,s333,s334,s335,s336,s337,s338,s339,s340,s341,s342,s343,s344,s345,s346,s347,s348,s349,s350,s351,s352,s353,s354,s355,s356,s357,s358,s359,s360,s361,s362,s363,s364,s365,s366,s367,s368,s369
11405,34960,50575,47763,54420,50323,28305,30097,53135,33169,28817,14739,41619,3729,21907,52371,52882,35217,62609,53908,43669,48789,10644,8597,917,51094,41878,46230,18325,29847,24725,50579,18325,41366,27028,20372,18837,64658,31892,38036,406,25749,1175,1174,64917,47255,44438,32918,26775,51863,39574,38037,5782,20374,42904,17557,9622,24981,664,54421,30356,9109,29845,45204,17941,27792,18324,14485,59796,37523,42389,40853,62868,62357,4500,63637,1685,50581,15509,10901,33686,60309,20629,52629,59285,21396,19605,57748,49300,36756,11415,6293,9876,21139,30099,2454,55702,37013,56212,33428,26007,23191,13974,37014,4247,65173,39060,21908,10133,3221,6037,49556,54932,51604,3477,23956,33683,1682,55443,59027,21139,11925,4756,32404,22676,33939,62610,26002,60563,51859,57751,57494,47510,27030,7318,49298,41619,30867,16275,12435,19604,44952,39316,10389,30869,37013,44948,38805,30107,62615,50833,42896,13454,31888,14225,19085,55438,33421,654,1421,42636,23181,7824,54927,15503,22164,18065,35986,35476,49553,62096,20114,58515,61839,8592,7825,10129,41870,39311,12944,46226,20372,35987,1169,1940,38549,22675,55438,146,5524,44443,49554,26264,12180,51858,51091,483,1939,37780,62355,5774,32399,26764,28557,29072,50063,17543,41869,50825,26510,40848,11918,13455,28301,62606,16271,53903,28307,25234,30865,10642,9363,8333,23956,660,53399,2707,58518,33415,903,3217,48532,39570,51596,48785,52878,54416,58236,39822,27792,49871,57814,5584,53198,8405,25528,3264,12742,42698,58828,29888,28609,18896,56026,42177,18102,55994,18111,64968,27597,46539,4549,3537,27086,8901,29124,23752,45766,22729,20919,58819,34501,55223,24778,34770,10175,48845,41428,46525,45517,61896,29375,17600,32216,28870,55504,39628,21968,58055,55251,4822,16851,52188,28618,5581,33235,38611,26083,36827,27867,26064,63711,38855,48583,31179,21951,34511,15070,52687,4559,57814,27081,60627,37081,37317,10950,21450,15054,25203,1929,41410,30154,20942,14787,16333,5589,2757,10699,64977,40901,40901,58567,38846,53973,11727,24016,62168,27094,65232,64979,58078,2527,27864,36830,18385,8151,24284,58537,10088,8266,13521,5590,22478,63941,32962,11895,20133,3011,0,2336,0,976,0,3905,3554,340,32555,3072,112
18573,33936,47759,44435,56468,47507,22417,24465,52367,30865,25233,9619,44435,7313,27027,53907,52882,38545,2450,56468,42901,45461,10644,10133,62612,47254,43926,52374,20885,28567,24469,46995,12949,42134,31892,25748,19861,63890,29844,41620,64917,20117,61846,64917,64917,42903,39574,34454,29079,55447,39062,38805,10134,28310,42392,10901,4502,25493,1176,49301,23444,6805,23445,42388,18453,26512,16020,11157,63892,45203,45205,38805,62612,662,6292,56469,60308,46741,17045,7829,28566,57237,26517,58773,62101,21652,21653,63892,54676,32916,5271,3733,12692,18579,33939,4758,49558,31637,53396,33940,23703,17559,12950,40598,7319,65429,41108,23956,16533,9109,917,42644,55700,52884,2709,19348,31891,6034,61331,60051,18323,12949,12948,33428,18580,26515,63122,25490,63635,56467,57751,53654,42390,30614,8086,46226,34451,26515,20115,17299,17556,42648,42900,18325,34453,33941,44436,38549,31899,61847,48529,41616,16782,33936,12945,18061,57230,35981,64653,5773,45452,22669,4240,57999,19599,23700,13457,33426,33684,49041,58000,13458,56467,62607,9104,5265,11665,44686,43919,10896,46226,17812,38547,1425,63891,32405,20627,57486,64657,3476,44443,45458,22168,12436,52626,51091,467,1939,40596,660,5774,28559,22924,28557,29328,47247,10119,40845,56457,26510,42384,14990,17039,34445,64654,17295,51087,29587,21650,27793,5266,7827,5517,23188,404,52375,65426,55702,32647,64902,1937,45204,39826,54924,51089,54414,51088,57468,40846,26512,42191,52438,6608,63182,8661,14008,57791,12742,45258,53708,16320,19393,22992,55002,38081,15798,52410,26559,64712,26317,36043,7109,5073,19662,59332,18372,25032,47302,21705,11703,56003,30149,51639,22986,34770,5311,40397,34772,48829,40653,60872,23487,26048,36312,24774,45520,35276,26576,57799,53459,58837,16851,53212,19146,63948,26579,41939,23779,32731,11739,40400,4576,30663,51143,28875,15039,18383,17886,65487,4303,56534,21705,61395,49881,36037,58309,19146,26062,21619,56968,34498,29898,28622,17091,4557,725,7365,3531,2770,32709,32965,62407,42686,42965,8655,20944,55512,19414,1489,63443,43998,62686,36056,31966,15569,4311,21212,59305,20328,3658,8401,9686,20174,63941,22466,64886,17062,3011,0,2336,0,976,0,3905,3554,868,32811,3072,112
15501,26512,42383,38803,48276,39059,10129,16529,49807,28561,20113,6291,41619,10897,23955,46739,46738,28305,58769,42388,31125,34709,2708,3221,56980,46486,43670,53142,19605,27543,19349,44947,12693,43414,34452,24468,12949,57234,25748,33940,52373,10133,54678,63637,59029,40087,38038,38038,34455,53399,34710,32917,4758,16790,30616,63892,64405,17045,58775,42901,20116,7317,12693,34708,14101,21904,11412,9365,62868,45715,43925,35733,58516,61077,64659,49813,51092,40341,10133,917,23446,55701,25749,59029,61077,17044,18325,58260,46228,24724,62614,59028,4756,11923,26515,62357,42390,17301,45204,27284,18071,15511,10902,41366,9111,64405,35220,20372,10133,1429,55700,34196,47764,46484,59796,12436,28819,4242,58259,56979,18323,11157,11924,24980,9108,20115,61586,24210,62611,50579,51095,44438,34710,20886,4246,38034,29843,24467,19091,14739,16020,42648,42900,13205,25493,24981,33940,32405,23195,50583,40081,37008,16782,29328,12177,16525,55694,35469,64141,5517,42124,23181,3472,55695,15759,14228,6801,26514,28052,42129,51088,6290,55699,64655,7824,1169,9873,46222,43407,3728,34706,6804,29075,57488,56211,25749,15507,52622,61585,1172,37019,39058,16024,9620,51090,48019,515,147,41876,61587,63117,19343,18828,22669,21648,38543,7815,35725,53897,23694,38032,12430,14735,28557,57742,7055,46991,22931,16274,19345,63889,4499,63884,17812,61331,46231,55186,50326,28295,62086,64144,41620,38546,52876,46481,47502,49808,52604,37006,18320,34255,52438,62671,7631,2005,16056,51903,11206,46794,41676,26560,8641,31952,47578,39873,2742,48314,20159,57032,19405,20427,14277,62416,25038,50116,25796,26056,49094,23753,1463,49091,28613,45751,29386,24530,8127,26317,43988,41661,38093,56008,14527,16832,24792,32454,32208,41676,20176,62407,43731,59349,17363,42972,22730,50124,32211,32979,29411,26331,8923,35792,60895,28359,50631,19915,16831,11215,23006,54991,9935,42454,20425,58323,42457,29637,52421,21194,12238,26483,49544,39618,26570,26318,15555,63692,2517,60612,9419,50897,28869,24517,61383,39614,40149,10191,14032,51160,18134,61648,724,33502,2015,25560,37854,11473,1751,21724,61865,18024,3914,9169,59349,26318,53957,22722,61046,18343,3011,0,2336,0,976,0,3905,3554,1348,33067,3072,112
14477,24464,42639,42131,49300,32915,12945,28561,57487,34705,22929,15507,54675,14481,25491,47251,51090,35729,55185,40852,36245,45461,14228,8341,64660,57238,56982,60054,21653,31895,21653,46739,20117,51862,37524,19604,13205,60562,29844,34708,51093,10901,61078,1942,62101,43671,47766,48278,39063,54935,38806,40341,8598,18070,30360,5525,8854,25749,62871,49045,34452,26517,15765,41876,17429,25744,13972,18069,3989,49299,44437,35989,62868,63637,64659,48789,51092,47509,14997,2453,27286,406,36245,64661,61589,23700,25749,64404,46996,26516,4759,4501,9108,16531,27795,60053,38294,23957,53396,32916,19607,16535,20118,46742,11415,62101,40340,26260,13205,917,57236,40340,53908,48532,62612,19604,40339,13458,64403,63123,25747,20629,13716,27540,13460,28051,58514,26002,63123,53139,48535,44182,35734,23190,7318,42898,36499,33427,25747,18067,19604,48280,46996,16021,23957,27285,40596,38037,27803,52119,49809,47760,26254,35728,16529,26509,911,40077,2190,9869,44940,22925,5264,59791,16527,13460,6545,31378,32660,42897,53136,13458,62611,4240,11408,8593,16529,49294,42895,1936,41106,16276,35475,60560,59795,35733,30099,61838,7314,10132,42139,40594,20632,16020,54418,50067,563,4499,44436,61587,64909,22671,22412,24717,22416,42383,11399,45197,60041,28814,44944,20878,22671,31885,61326,15247,55695,26515,18578,22417,8850,15507,653,19348,62867,46487,59538,55446,33671,903,1937,46740,42898,56716,49041,47502,51088,56444,39054,21648,32207,52438,63695,62926,65236,1976,52927,19654,44490,39116,28096,26561,30928,51162,27329,17590,55482,20159,50632,19149,33739,17093,209,13006,60868,38084,33480,36038,18377,951,41155,26053,53687,33482,19410,65214,32717,44244,49341,24525,56776,19391,24256,28632,20422,35536,50636,26576,52935,47059,62165,28115,49628,21194,45004,42707,39123,18659,28379,14043,40144,2784,33479,59335,13771,19391,22479,25822,58319,64718,42966,22985,62675,29401,30917,47557,26314,19662,21107,49800,42946,42442,18382,16067,60620,15317,64708,3787,50641,37573,33477,58567,41406,29397,5839,11472,47832,26582,61904,59091,31454,735,40664,29406,8401,64982,26332,57769,16744,62281,8657,11734,19918,53189,21186,4983,18344,3011,0,2336,0,976,0,3905,3554,1332,33323,3072,112
16781,32912,52623,46995,51860,46483,32913,41617,1680,42385,37521,31379,58259,14737,26259,55187,58002,35985,60049,50580,50581,59541,19604,17557,12949,4247,61590,58006,22677,35223,32149,62099,33429,56982,37780,25236,21141,1427,31892,37012,150,29845,9623,9366,9110,59543,61078,52886,39063,54935,46230,43413,9110,21654,41624,19605,17046,33173,7064,65173,45972,26517,33685,55700,26645,36240,31124,31381,11413,49555,49301,45973,3989,64149,1428,61589,4245,56469,22421,17813,47510,13718,38549,64661,1686,30356,30869,61588,48276,33428,15511,10645,16020,27027,26515,63125,52630,42645,64660,38804,31127,23703,34454,52374,14999,6294,49300,29332,11413,1685,4501,51860,59284,55700,10133,38292,52883,20370,916,3220,31891,20117,10900,27540,20116,32915,2451,35218,2708,50835,54423,56470,52374,31126,14486,54418,53139,45971,29075,23699,27284,55192,49556,15509,28565,36757,51092,42901,34715,1432,65169,58256,30350,40848,22417,32397,65422,37005,13966,15501,51596,21645,14224,62351,17551,18068,18321,40850,39572,50065,1937,28306,7828,10896,18832,18065,20881,50062,42383,8336,49554,25236,39059,1937,6292,47509,37523,1423,9618,15508,47515,53138,36248,25748,64658,58003,611,13459,48276,65427,6030,33167,30092,29837,31120,55439,26247,55693,138,37006,54416,28302,25487,34445,655,22159,59279,31123,25490,38289,19858,24723,10381,25236,4244,56215,7315,1687,43655,9351,12945,58004,51858,60044,53393,56462,58768,63612,44174,29840,37071,62422,2000,61646,54484,29880,58559,25030,41930,52172,36800,29121,29904,31450,47553,19638,61626,14527,58056,22989,47563,20677,56272,30158,65476,44740,20680,46534,15049,21943,54467,35269,54967,31434,21458,8383,41933,55508,35517,36045,64456,29631,21952,26584,32710,46288,56268,15056,59079,47571,6870,24019,39900,25290,58060,51155,38611,27875,29403,34779,42960,63711,45767,51399,21451,22975,37071,27102,49871,5839,52694,33225,58835,34777,25541,1478,33482,10190,21107,60040,53954,35530,26574,8643,12493,16597,197,4299,54481,45509,34501,62151,34238,48597,8655,16336,3545,26582,2257,63699,48094,15583,37080,35550,5841,12247,26076,65449,10600,5194,18641,8150,26318,51141,37314,12407,11689,3011,0,2336,0,976,0,3905,3554,916,33579,3072,112
19085,31888,48271,44691,61332,55699,33425,38033,400,45713,37265,19091,51091,10129,30867,56467,52370,33681,1938,58516,51861,54421,21652,21909,10645,59286,47766,55702,22677,31895,34709,60563,23701,48790,34708,26516,16789,63634,30356,42900,4758,30357,5783,14230,10902,58775,52374,44694,38295,58263,40598,36245,9110,27798,45720,16789,15510,34453,12184,61845,36500,18325,34709,53140,28949,38032,27796,22933,3221,48019,50581,40341,62868,2710,8340,662,2709,58261,28821,21141,41878,3734,34197,64917,64405,22420,22933,61076,53140,35732,10135,9877,21396,31891,29075,5270,57494,38549,62612,45460,39575,21399,25494,48278,16023,7318,42900,23444,14485,10133,7829,50324,61588,62100,16277,31892,42899,17298,3220,660,22931,11925,12180,33684,21396,30099,2451,29074,62867,52371,59287,58518,50326,34710,19862,59282,48275,38803,27283,25747,26260,49048,45204,16789,36501,37013,47252,45973,42651,4504,60561,51088,26510,41616,22417,24205,60558,38029,5262,12429,49548,18061,8336,56207,20367,25236,17809,39058,41364,60817,4753,24466,3732,11408,19088,15249,16017,48270,43919,11408,48274,20116,41875,9873,9620,43413,30355,1935,10898,11412,53915,55954,32664,20884,62866,58771,387,6547,42900,2196,7566,33167,28300,34445,36496,59791,25223,50829,138,37006,51088,20110,17807,35725,399,18063,56463,33171,30866,37009,15506,19091,8845,27796,6548,60567,8595,64662,42631,7559,12177,53396,45714,58252,54417,56462,56720,61564,48270,33168,45007,56534,5584,60366,8149,24248,55231,18118,54474,56524,34752,21697,20176,63706,40897,9398,57018,23999,63176,32461,43467,1989,13521,33230,1733,30404,26568,49862,26569,16311,57027,33221,52663,28618,23250,13503,45773,37076,54461,45005,63688,24511,24512,34520,33222,50896,39628,30672,57287,51155,2774,15571,47836,31690,1997,27603,49363,31715,37595,28123,31952,4832,23239,61383,30667,26559,25295,23006,58319,11983,55254,20169,2516,38105,41669,2502,21962,18382,33395,3209,36290,37322,26830,16067,12237,4309,1477,9931,63697,39109,32709,62151,50878,59349,13775,27856,53464,31190,209,4308,56542,63966,37592,40158,23761,5079,24796,60841,18024,10058,8145,6870,24014,198,32706,9079,62633,3011,0,2336,0,976,0,3905,3554,756,33835,3072,112
21645,33680,51599,46483,62100,58003,33425,34193,62607,44433,34449,18579,48275,10641,27795,55699,53650,37009,4498,59284,51605,50325,21908,22165,8597,57750,48022,53398,22165,32663,34709,57235,20885,46230,33684,28052,20373,64402,31892,44948,8598,29077,6039,10646,11926,56471,46230,42134,37271,56983,41110,37269,12694,27030,47768,19605,16790,35989,9624,61589,34964,17813,34965,51092,27413,35728,24468,21141,1685,49043,46485,40597,63380,1942,13716,2966,3221,58773,26005,17045,40342,662,32917,62613,64661,22932,22165,63636,56724,38804,13463,10645,22420,31891,32659,7318,57750,40085,62100,43156,34199,18071,21654,46230,14487,4758,43668,24724,13717,11925,9365,50836,61844,62868,12949,30868,39059,12946,1172,64659,22419,14741,14740,35476,22932,34963,403,27282,65171,55955,60567,59286,52118,35478,18838,58002,46739,38803,25491,25491,24468,46488,44692,17813,37013,38037,50068,45461,41115,3992,58769,49808,26254,41360,19601,22669,57742,39053,6542,10125,49036,17293,8592,58767,21647,24212,18833,40594,42900,59281,3473,23698,1940,8336,16528,13201,13457,46222,45711,12176,48274,20884,42643,9361,9620,42133,30867,399,10130,13204,53915,55186,31128,16276,59026,55187,387,3219,43412,1940,8846,34703,31116,35981,38032,57231,23943,49293,64905,34702,47504,18062,21135,34701,2447,20111,57743,35987,32658,36241,13458,19347,7309,27540,8852,60567,9107,63894,40327,4231,11409,52884,45714,59276,54417,57486,56976,63100,47246,33424,47311,56534,720,61646,12501,19640,3264,15558,54474,61900,31424,25793,23248,62938,35009,17078,49338,24255,713,23501,46795,9669,11473,27854,8645,22212,38088,53958,22217,14519,58051,32965,47287,27850,35026,13503,42445,41428,54461,48077,1481,24511,21696,38360,29894,46544,41676,22992,63687,55251,470,15059,60380,29898,2509,37843,47571,32227,36571,24027,30160,5856,34503,59335,30667,27327,26319,26590,62415,7375,54998,24521,2004,39129,41157,710,23242,25294,28531,905,41154,37578,33742,16067,7117,8149,6853,13003,210,36549,40645,65223,53694,47573,9935,30160,56536,30422,1745,5844,51934,62174,37592,39134,25297,1751,19164,61353,20328,7242,12241,10198,26062,4806,31938,10103,59050,3011,0,2336,0,976,0,3905,3554,868,34091,3072,112
25997,34192,57487,54931,65428,53651,27793,31633,63375,39313,27025,14227,48787,18065,29331,56723,57234,47761,8594,56468,46741,52885,18324,16789,1941,55446,50326,58518,23701,32919,30357,52371,20629,51862,41364,30612,22165,6291,41620,47764,4758,21141,5783,11414,5270,48791,47254,46230,39831,58519,40342,44693,19862,33942,46232,15765,16278,34709,6552,52885,31380,19605,30613,53396,28181,30608,16532,18069,6549,52115,48533,42389,6293,9878,13460,64661,1685,58517,26517,13973,32918,64917,34453,65429,63637,25236,29589,7317,61588,39572,14231,13973,20372,25747,41363,10902,54678,38549,64148,45972,30359,11415,20630,48278,15255,3222,45716,32660,22933,14997,7061,53396,64916,61332,6037,24212,40339,14482,404,63379,25235,20629,24724,39316,26004,34707,659,31890,3476,64659,61079,58006,51606,39318,15766,51090,41363,37523,27283,20371,23188,48280,52628,25749,39573,40597,51092,48277,40859,63639,53393,48528,27278,38032,16529,25741,65422,43405,6542,15501,48780,14221,11408,65423,25743,26004,19601,42898,44692,55953,62864,19602,660,8592,16272,12433,16785,53646,48783,13200,51090,24724,46739,7313,2708,40085,31123,143,4754,7316,52123,51858,28568,20884,61330,55443,195,7827,49300,5524,9870,33423,33676,37261,35984,53647,21383,50829,63113,31886,45712,18830,26255,39821,2703,23695,63631,38547,29842,31889,14482,19091,11917,30868,9108,59287,5267,61590,40071,6535,7057,51092,47506,61580,55441,58254,60304,381,53390,33424,38095,58326,8144,463,8917,17080,63935,22470,62154,48844,29888,27073,34256,59354,36545,19126,52666,33727,61128,25293,38347,17093,13009,20686,453,27588,45768,47046,25801,15031,50627,27845,45239,41674,29906,9151,44493,53204,56509,48845,1225,19903,34240,36056,31430,38096,44236,30160,61895,51411,62677,30675,51164,32202,1997,39123,47571,34787,36827,13531,44752,11488,39111,58055,30155,20415,20175,32990,61647,10959,53462,23753,6612,45273,39877,61125,32970,27854,28531,60808,38850,36298,36302,17347,461,15061,8645,17867,63953,38853,41925,1480,49854,40917,20943,28624,49624,30166,7377,8404,34782,4831,40408,42974,20689,4823,31452,682,24168,4426,10705,9430,31950,5574,22466,12407,56491,3011,0,2336,0,976,0,3905,3554,1476,34347,3072,112
24461,40336,62351,54931,57236,48787,31889,36497,59279,37265,33681,28563,64659,20369,40339,4500,7827,48785,6546,58772,55701,59285,20628,17557,14485,2711,64662,3735,38805,53911,25749,56211,30613,58006,42644,31380,28309,13203,38292,41620,1942,31125,8599,7318,5526,57495,61078,49558,45207,920,58262,57237,21654,34710,51096,26517,20886,34197,8600,1942,49300,32405,32661,50324,20757,28560,24468,29589,10901,52115,55445,53653,11925,6806,8596,1942,8341,60053,22421,14485,43158,14486,41365,4246,9878,42900,44949,10133,62356,47252,24215,18837,22932,32659,35475,2710,55702,40085,61332,36756,27031,17815,29590,54678,17559,16278,59284,42900,22933,13461,15509,60052,1429,58004,8853,37012,51091,19090,6548,12436,44435,34709,27284,44436,36500,50835,8595,39826,9620,59027,61079,59286,57494,34454,9366,50066,49555,44947,30355,26259,34708,153,59796,26005,41621,46485,57748,48021,37531,4248,146,58512,32142,45968,32913,43917,14479,55949,9358,11917,50828,23181,20880,65423,25487,28308,25233,45458,40340,52625,657,28306,5268,10896,21136,24209,30609,61326,54927,21392,61330,32660,47507,9873,12436,51093,38547,6543,16530,27540,43675,50066,32408,22164,61074,58771,483,16275,51604,5268,13454,41615,37260,35725,34704,58511,27271,53389,650,40078,59024,32142,33167,45709,14479,29583,5520,41107,35986,45713,26258,28051,13453,30356,5524,55703,7827,1431,42119,7303,12945,58772,54930,141,58513,399,1937,4221,50062,34704,41935,9687,14288,59342,9429,27832,1472,16326,52938,46540,47552,36545,28880,55258,49089,28598,60346,25535,62152,42445,48843,20421,4305,32974,15557,44228,36296,46790,39881,31415,57795,45765,952,30154,26578,17599,57293,47828,52157,45517,14537,34751,27328,23768,42182,53200,54476,32720,57031,2004,17366,33747,46300,42442,6093,45523,48339,28899,41691,34523,48336,736,41927,59847,21963,29375,43983,32222,58831,9423,2007,33737,2004,31961,45765,5830,37322,19150,26995,5257,54466,46282,24014,24771,15821,32213,6853,12747,1234,55493,48325,59335,56510,51925,9679,30928,473,37334,65232,468,55518,6623,47320,33246,23249,18391,39900,58537,17256,2122,21457,17110,21966,1222,33218,25207,60332,3011,0,2336,0,976,0,3905,3554,1428,34603,3072,112
45709,64656,16784,4756,11925,3476,50833,56465,14736,59281,58001,49043,14228,37777,56467,22676,18579,60817,19346,10133,5526,8854,36500,33685,28309,22935,11159,16791,50325,62615,48277,17300,54421,13719,62612,54420,50837,28563,54420,58772,22678,47253,24727,22934,26518,15000,14743,6807,62103,23192,8855,5782,37270,47254,153,41621,32150,46229,25496,13718,60564,46229,52373,3733,43285,53136,51092,51093,31381,11924,12182,9366,29333,22934,27796,20374,21653,8086,40853,36501,63126,30870,56213,23446,29334,58004,54421,20629,9877,60308,35479,28309,31892,42899,52883,23190,10647,59285,12437,60052,50839,17559,51350,6295,38295,34454,9621,54164,38037,33173,28821,6037,10901,8341,29077,55188,148,36498,24724,29076,58771,45717,37268,55700,46740,55187,31123,58770,26516,12436,18584,15511,5527,51094,30358,10131,4500,62355,51603,47763,57748,14745,9877,41877,58261,63637,4245,62869,54171,19608,15506,6801,46222,62608,49297,55181,24719,62349,33934,35213,8589,23949,40336,21136,44431,47508,41873,62610,58516,5266,20625,44690,24212,31120,40592,42897,48785,11663,3984,37008,9107,46228,58771,22161,26516,1174,54419,18319,31378,38804,412,7315,54680,42644,16531,15764,179,34707,5269,26516,33422,57487,51852,50829,53904,10128,45191,4494,18314,60558,11665,49550,48783,58509,26511,47503,16272,53651,46994,53649,37522,37011,35469,50324,24980,11672,29331,24215,62087,29319,33937,14741,6547,19085,11410,17551,17553,20093,1167,51856,57551,18391,20944,10959,10197,39864,6592,31942,60106,461,52672,41921,44752,57562,64705,33206,8635,32703,7881,60109,54987,28869,15569,47054,17605,57540,38856,60870,38345,41399,9412,49605,15544,40650,39122,31935,65485,64724,53181,58317,13001,44991,34240,33496,49606,64720,717,37072,11464,980,33750,40915,59868,43978,18125,53203,48083,42979,39899,50907,54480,13536,59335,63175,42187,33983,49871,45022,64719,24271,1495,47561,6100,53465,49605,19654,42698,28366,44403,10633,1987,47562,44494,25283,29901,31445,14021,25291,7122,710,46277,10952,51646,6614,27087,33488,15833,35542,11473,10196,65502,26591,45272,51678,27601,31447,51164,8618,16744,11082,37585,17110,38606,6598,50370,26231,54445,3011,0,2336,0,976,0,3905,3554,1604,34859,3072,112
41613,50832,3216,1940,11413,63123,41617,49553,18832,61585,50321,40339,14228,38033,51603,6548,8595,61585,18322,661,55701,3478,35220,31893,22165,12183,12951,18327,43925,50583,52117,10900,48277,12951,63380,48788,38037,17811,53396,57748,12182,38037,22423,28566,25750,5272,5271,7575,64407,13464,64918,63125,34198,42646,52632,24725,28822,49813,22424,7062,56468,44181,45205,2709,45589,52368,41364,45205,31893,9364,1686,59285,20885,21654,23700,7830,13461,7830,41621,30869,54422,24726,61589,24214,20630,45204,48021,20629,4245,48532,22935,25493,33684,38035,53395,20374,919,51605,13717,58516,46743,14487,45718,10391,42135,26006,62356,49044,36245,26517,18069,62356,13461,11669,22933,43412,63891,39314,23444,19860,46227,41109,37524,48788,36244,46995,21139,49810,23700,13204,10136,3735,63638,52118,31894,65426,60563,59795,51091,42899,43156,5785,6293,41365,51093,50837,63636,61333,51611,14232,6290,6033,46734,59280,38801,49037,21135,60813,33166,37517,8333,18829,32400,19088,40847,38292,28817,54674,56468,5266,11921,38546,23444,28816,37520,33681,40081,9359,144,28304,64146,38804,56467,18833,17556,56725,50835,23183,26514,32148,412,2707,48280,42900,17299,12948,291,27795,2197,21652,22926,48783,48268,49805,47504,1680,38023,5262,20106,53646,4497,43662,46223,56461,17551,35215,7568,51091,39314,46481,29074,36499,26509,45716,24980,8600,22163,15255,60039,25735,29073,7317,3731,14733,7314,8591,8849,14461,64654,46480,54223,5335,30928,12239,26581,28600,7104,45510,7883,1741,44480,54465,47056,8667,48577,27574,11451,46527,10697,36301,58571,28613,32465,34254,15813,55236,59336,1479,35273,37047,5316,42181,14776,50122,50130,20671,4046,469,8638,55245,10185,42943,42944,53976,41158,63184,205,53968,6600,62931,25814,40147,5597,38090,15053,52179,7380,45539,49627,42971,61392,26592,51143,14536,47819,29375,54479,47582,22736,21711,4055,46025,24532,61913,41413,18374,40906,41422,40563,4233,59330,62154,53710,33219,21965,29141,32197,25547,10194,50629,57541,14536,63678,57813,30927,36560,9177,39382,26577,18388,60126,21215,63704,56286,31185,24791,44508,10922,26216,10058,22225,34518,45006,12998,46274,28791,49582,3011,0,2336,0,976,0,3905,3554,1860,35115,3072,112
